track_id,track_name,track_artist,energy,preview_url
2enPRFda84VE2wtI8c86Uf,Always Forever,Cults,0.742,https://p.scdn.co/mp3-preview/3887c5ec8242ce866b24154f24baa8128f8743d2?cid=49789426e6c04428a2befbd3c2d79b02
4MSqgoFS7e8LpsxeeMMVMu,Paranoid,Black Sabbath,0.631,https://p.scdn.co/mp3-preview/4d07a4b7dafa6d746f0717a3f575fa76144e8c92?cid=49789426e6c04428a2befbd3c2d79b02
54ELExv56KCAB4UP9cOCzC,Gato de Noche,Ñengo Flow,0.662,https://p.scdn.co/mp3-preview/7d6a9dab2f3779eef37ef52603d20607a1390d91?cid=49789426e6c04428a2befbd3c2d79b02
1A0I5aiVZRwecRlbQcweBh,Gone Country,Alan Jackson,0.719,https://p.scdn.co/mp3-preview/03a512f0ad00ef82a6cac508eedaed5664d1df4f?cid=49789426e6c04428a2befbd3c2d79b02
76nKkLXCAoJwnjUylYic4D,You Up?,Johan Lenox,0.818,https://p.scdn.co/mp3-preview/277695a12853cf17471a4d5abd5f974cb60b58ee?cid=49789426e6c04428a2befbd3c2d79b02
43cCZRdT1nybOMWrjimFWB,Stay,Khalid,0.628,https://p.scdn.co/mp3-preview/35877b4c4718c030225950b03a515515c4d5c8cf?cid=49789426e6c04428a2befbd3c2d79b02
400QEuv1HXJcm7gGSya4fn,Taj,BLR,0.727,https://p.scdn.co/mp3-preview/28d864a791936617d9667aacd53885310baeca28?cid=49789426e6c04428a2befbd3c2d79b02
30pVSKdzBpZ9Np4Y2bJbFM,Fuego,Alok,0.643,https://p.scdn.co/mp3-preview/82e7449dd93791a4b7b8b51f23b6137bca024ffc?cid=49789426e6c04428a2befbd3c2d79b02
6NOjt6GYMuBGSuLuM2AXuB,Equilibrium,Leon Lour,0.846,https://p.scdn.co/mp3-preview/ec0f3511b9f143d20db8bf233f76f9552459acba?cid=49789426e6c04428a2befbd3c2d79b02
5x5jtuR4qWJzC6cDTgysez,Clandestina - Cocaina Remix,FILV,0.614,https://p.scdn.co/mp3-preview/946c7d754551c89cbf075b90ed7ad726b9a86ef8?cid=49789426e6c04428a2befbd3c2d79b02
