track_id,track_name,track_artist,acousticness,preview_url
5WL6VbqrAs7qYsMkCvShoN,Carrousel - Short Version,NTO,0.0418,https://p.scdn.co/mp3-preview/f168adef4555a53c8b7f22bc6a72b328b0c7ad3c?cid=49789426e6c04428a2befbd3c2d79b02
7IXjxb3vmqbqZr06kieNUh,Fireburn,De Hofnar,0.00299,https://p.scdn.co/mp3-preview/f57eebe6f127ff144df626f4131e3fab1f94e61e?cid=49789426e6c04428a2befbd3c2d79b02
6GomT970rCOkKAyyrwJeZi,Move Your Body,Öwnboss,0.0169,https://p.scdn.co/mp3-preview/86d6200edc5e8c68e89e22a126d1dbf7b73b7a90?cid=49789426e6c04428a2befbd3c2d79b02
2cegJfpyiaWXclqj5HRsZG,Just Feels Tight,FISHER,0.00153,https://p.scdn.co/mp3-preview/e90574f30ad3713a63d211b52f881a6a826802e0?cid=49789426e6c04428a2befbd3c2d79b02
68UW3plyDDNg1dkNIZRezJ,Tinted Eyes (feat. blackbear & 24kGoldn),DVBBS,0.00598,https://p.scdn.co/mp3-preview/4a693921a2b8268e6809bacdbf0a269033fb5480?cid=49789426e6c04428a2befbd3c2d79b02
4Nnsl0Ji84Bcku8uVbFbjV,Mania,Madeon,0.0177,https://p.scdn.co/mp3-preview/747410c7777ef031a2f1188497589b0b3b8e8241?cid=49789426e6c04428a2befbd3c2d79b02
0AR1NRcYkm2vhostE502BU,Overrated,Pretty Pink,0.0666,https://p.scdn.co/mp3-preview/cfd6a2f3da60f2dc5e707db71771c5a6083a35a4?cid=49789426e6c04428a2befbd3c2d79b02
1CIRbbtZFBm2T0cMqH8Cqe,Not Even In My Dreams,GUNNAR,0.0993,https://p.scdn.co/mp3-preview/315be0154c6938eb4a84e9d2eed6ac4b0c0b11f7?cid=49789426e6c04428a2befbd3c2d79b02
3jhStgnHgwPGaSyhdHuT1Z,Word on the Streets,Key Glock,0.0266,https://p.scdn.co/mp3-preview/a8c9483f6a691fc3114982a62b87f77c5e88951b?cid=49789426e6c04428a2befbd3c2d79b02
5hNsSrWcClSp0tg4Jdd4UY,I Got A Shot,Jack Harlow,0.0784,https://p.scdn.co/mp3-preview/6b8acb053fa5f9c0fad21db461be2c7913ce90cf?cid=49789426e6c04428a2befbd3c2d79b02
7Bot6AB2dsvZEyqzUL8AUH,I'd Do Anything To Make You Smile,Jack Harlow,0.012,https://p.scdn.co/mp3-preview/6714fd380cf53bc0fb44f9cac93190de30a44ce5?cid=49789426e6c04428a2befbd3c2d79b02
1qMMYpVatbRITKCfq1gasi,PUFFIN ON ZOOTIEZ,Future,0.0603,https://p.scdn.co/mp3-preview/a5bb6f511c845bd5f971e0fca5ba45f080835ca9?cid=49789426e6c04428a2befbd3c2d79b02
2ihL1KGMA0geIqGT5pkZzo,WARSAW (feat. 2forwOyNE),Jack Harlow,0.0474,https://p.scdn.co/mp3-preview/89e8509868fa86cf769383104ec60f2adb195ef1?cid=49789426e6c04428a2befbd3c2d79b02
40oKW22ZNNkEdZLJTScaQI,Roll in Peace (feat. XXXTENTACION),Kodak Black,0.0306,https://p.scdn.co/mp3-preview/1b576ba973999ee4ea4233c137e4973fc5dce959?cid=49789426e6c04428a2befbd3c2d79b02
6AqmB6KKC9U6Pfssk1ZYGJ,Memories,Nebu Kiniza,0.0593,https://p.scdn.co/mp3-preview/591d1f7547eb09851a531d9a5338468b78e7a02c?cid=49789426e6c04428a2befbd3c2d79b02
