track_id,track_name,track_artist,speechiness,preview_url
4MSqgoFS7e8LpsxeeMMVMu,Paranoid,Black Sabbath,0.0769,https://p.scdn.co/mp3-preview/4d07a4b7dafa6d746f0717a3f575fa76144e8c92?cid=49789426e6c04428a2befbd3c2d79b02
1A0I5aiVZRwecRlbQcweBh,Gone Country,Alan Jackson,0.0248,https://p.scdn.co/mp3-preview/03a512f0ad00ef82a6cac508eedaed5664d1df4f?cid=49789426e6c04428a2befbd3c2d79b02
05oETzWbd4SI33qK2gbJfR,Rhiannon,Fleetwood Mac,0.0296,https://p.scdn.co/mp3-preview/476ef04b5327e34acb261d397fc5832022c35d5b?cid=49789426e6c04428a2befbd3c2d79b02
76nKkLXCAoJwnjUylYic4D,You Up?,Johan Lenox,0.0458,https://p.scdn.co/mp3-preview/277695a12853cf17471a4d5abd5f974cb60b58ee?cid=49789426e6c04428a2befbd3c2d79b02
43cCZRdT1nybOMWrjimFWB,Stay,Khalid,0.0504,https://p.scdn.co/mp3-preview/35877b4c4718c030225950b03a515515c4d5c8cf?cid=49789426e6c04428a2befbd3c2d79b02
30pVSKdzBpZ9Np4Y2bJbFM,Fuego,Alok,0.0369,https://p.scdn.co/mp3-preview/82e7449dd93791a4b7b8b51f23b6137bca024ffc?cid=49789426e6c04428a2befbd3c2d79b02
6NOjt6GYMuBGSuLuM2AXuB,Equilibrium,Leon Lour,0.0399,https://p.scdn.co/mp3-preview/ec0f3511b9f143d20db8bf233f76f9552459acba?cid=49789426e6c04428a2befbd3c2d79b02
3QBZhGyrmH16X853rimdE1,I Made You Do,Melih Aydogan,0.0418,https://p.scdn.co/mp3-preview/28886a9fa2215c7552487f9488a0da27a1e4fe58?cid=49789426e6c04428a2befbd3c2d79b02
5WL6VbqrAs7qYsMkCvShoN,Carrousel - Short Version,NTO,0.0437,https://p.scdn.co/mp3-preview/f168adef4555a53c8b7f22bc6a72b328b0c7ad3c?cid=49789426e6c04428a2befbd3c2d79b02
7IXjxb3vmqbqZr06kieNUh,Fireburn,De Hofnar,0.0481,https://p.scdn.co/mp3-preview/f57eebe6f127ff144df626f4131e3fab1f94e61e?cid=49789426e6c04428a2befbd3c2d79b02
6GomT970rCOkKAyyrwJeZi,Move Your Body,Öwnboss,0.0527,https://p.scdn.co/mp3-preview/86d6200edc5e8c68e89e22a126d1dbf7b73b7a90?cid=49789426e6c04428a2befbd3c2d79b02
2cegJfpyiaWXclqj5HRsZG,Just Feels Tight,FISHER,0.071,https://p.scdn.co/mp3-preview/e90574f30ad3713a63d211b52f881a6a826802e0?cid=49789426e6c04428a2befbd3c2d79b02
68UW3plyDDNg1dkNIZRezJ,Tinted Eyes (feat. blackbear & 24kGoldn),DVBBS,0.0343,https://p.scdn.co/mp3-preview/4a693921a2b8268e6809bacdbf0a269033fb5480?cid=49789426e6c04428a2befbd3c2d79b02
7yL4wdksHlDnmKvofxMTBE,A LOT TO LOSE,24kGoldn,0.0475,https://p.scdn.co/mp3-preview/3a0b22bf183b594e0de8812a426b9c62f7430565?cid=49789426e6c04428a2befbd3c2d79b02
4Nnsl0Ji84Bcku8uVbFbjV,Mania,Madeon,0.0404,https://p.scdn.co/mp3-preview/747410c7777ef031a2f1188497589b0b3b8e8241?cid=49789426e6c04428a2befbd3c2d79b02
3NWTRZ0A8xKlBP1qgNftql,Special Affair,The Internet,0.0859,https://p.scdn.co/mp3-preview/c54f3166f9f5ef694281621c38944fd894daedfe?cid=49789426e6c04428a2befbd3c2d79b02
5ibTi2YwtvbB1bTOv2I93d,John Redcorn,SiR,0.0865,https://p.scdn.co/mp3-preview/a0f5e5fe7fad004db67f41fc8bcf56aa2c2c5b9f?cid=49789426e6c04428a2befbd3c2d79b02
