track_id,track_name,track_artist,danceability,instrumentalness,speechiness,acousticness,energy,valence,tempo,loudness,liveness,key,mode,time_signature,preview_url
3RySVukMPe4R7lAP8oGI17,West Side Highway,A$AP Rocky,0.667,0.0,0.311,0.0149,0.499,0.396,92.996,-11.725,0.125,7,1,4,https://p.scdn.co/mp3-preview/e15a020bf321d6978e6e97920019065596ccfcdd?cid=49789426e6c04428a2befbd3c2d79b02
0rGipWrGwAnZsaVkyiJpap,Day for Day,Kodak Black,0.737,0.0,0.373,0.283,0.562,0.457,81.015,-8.156,0.0727,5,1,4,https://p.scdn.co/mp3-preview/5ba0bd8966f967478487cf9f54e1819c4308b82f?cid=49789426e6c04428a2befbd3c2d79b02
0smkE9zt2Bg7fFk0HlzR4C,Roll Back,George FitzGerald,0.371,0.73,0.0656,0.677,0.381,0.308,82.147,-11.14,0.243,7,1,4,https://p.scdn.co/mp3-preview/2214bf6dee5f78a03be67c58aabbf1f93d0bf581?cid=49789426e6c04428a2befbd3c2d79b02
3FigWC4Kgj0YB1tc6WMwJL,Moonwalking in Calabasas,DDG,0.915,0.0,0.0762,0.0395,0.37,0.736,130.033,-8.696,0.171,11,0,4,https://p.scdn.co/mp3-preview/650bbe7cbdb273e64b73f8ebb3b3bcec9f95e259?cid=49789426e6c04428a2befbd3c2d79b02
5VlTQnZO89Ioku8ssdbqJk,Dead Man Walking,Brent Faiyaz,0.505,0.0,0.05,0.279,0.267,0.439,143.929,-13.763,0.096,9,0,4,https://p.scdn.co/mp3-preview/ea77901675538cc8ddfe6b86b7b3b966922015fe?cid=49789426e6c04428a2befbd3c2d79b02
7zwn1eykZtZ5LODrf7c0tS,You Get Me So High,The Neighbourhood,0.551,0.0791,0.0542,0.186,0.881,0.387,88.036,-6.099,0.152,7,0,4,https://p.scdn.co/mp3-preview/3f5a7c8b8e434e72c0e8f0bf43341f161c54b14b?cid=49789426e6c04428a2befbd3c2d79b02
2AYEOC02WLhUiOoaig2SEH,Out of My League,Fitz and The Tantrums,0.545,0.00325,0.0853,0.0387,0.968,0.527,169.965,-3.553,0.331,9,0,4,https://p.scdn.co/mp3-preview/d50d8b3ce46da19a8f6b63539be7a10faee9a569?cid=49789426e6c04428a2befbd3c2d79b02
1Zq90puHPQ0NyVkla8SS9V,San Francisco,Mac Miller,0.59,2.51e-05,0.447,0.182,0.59,0.19,77.914,-7.103,0.11,0,1,4,https://p.scdn.co/mp3-preview/c56d17da4654f859622c60ab15627a3c9ca70796?cid=49789426e6c04428a2befbd3c2d79b02
3DORsoGpr8l2xsaZE9baq5,Wake Up,Mac Miller,0.737,0.0,0.141,0.0457,0.782,0.642,109.354,-5.057,0.236,4,0,4,https://p.scdn.co/mp3-preview/3b110e16c0bc624bce60b2428ad313abfe6e362d?cid=49789426e6c04428a2befbd3c2d79b02
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,SZA,0.436,8.1e-06,0.0583,0.499,0.655,0.412,121.002,-8.37,0.688,1,0,4,https://p.scdn.co/mp3-preview/ddda59aa9a028820fc0fb6ff05ae463924843191?cid=49789426e6c04428a2befbd3c2d79b02
6RpunyUP44SDweJPDScLSF,Come Home (feat. André 3000),Anderson .Paak,0.567,2.14e-05,0.141,0.0144,0.815,0.325,164.834,-4.915,0.126,8,1,4,https://p.scdn.co/mp3-preview/1648d29f242f9a96c3336c2742dfb97ca1293e8c?cid=49789426e6c04428a2befbd3c2d79b02
3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,0.644,0.169,0.0351,0.0543,0.728,0.43,88.993,-5.75,0.161,8,1,4,https://p.scdn.co/mp3-preview/49dfe4ea78c5d3c5d2923d4a34c50fc4709855cb?cid=49789426e6c04428a2befbd3c2d79b02
