track_id,track_name,track_artist,danceability,preview_url
7voSun33hCNkIrjxaj3g47,Peru - Remix,Fireboy DML,0.966,https://p.scdn.co/mp3-preview/ed78b8790fbcde441443618c51bec3e6ff8a0f1f?cid=49789426e6c04428a2befbd3c2d79b02
5cD0SQXZshc0DLmfVFaT8v,Flex,Piff Marti,0.943,https://p.scdn.co/mp3-preview/83dfe861be1ec7104873a1a5df3b2ffcebdd9a36?cid=49789426e6c04428a2befbd3c2d79b02
4KDNRh9Oor80z3XIxdWlui,Bubbly (with Drake & Travis Scott),Young Thug,0.91,https://p.scdn.co/mp3-preview/774b5baf51480bca077cd03d120f9355a71dd503?cid=49789426e6c04428a2befbd3c2d79b02
0lTH3Dt0GlBQhxFHSnaZ7g,ROCKSTAR P,Baby Keem,0.948,https://p.scdn.co/mp3-preview/7849d41d1c34dd63b2479b7c390227424848bce3?cid=49789426e6c04428a2befbd3c2d79b02
6pkDAIRyrKq5NZVfD2Has8,30mgs (feat. Vory),BEAM,0.89,https://p.scdn.co/mp3-preview/2b084d7489e362014b775672477cb7a34c914acf?cid=49789426e6c04428a2befbd3c2d79b02
6LVNkUMkEkDxtnCDpHMeN6,Drop Top Lexus,BIGBABYGUCCI,0.9,https://p.scdn.co/mp3-preview/478747bd0568dd14a5020186b0a7ac85ffb8cf2c?cid=49789426e6c04428a2befbd3c2d79b02
5yX1jR8VbEygSGnY7dXPBq,Headliner,NSG,0.885,https://p.scdn.co/mp3-preview/e4776a5c456e8b4101fca76205039560aa7721ea?cid=49789426e6c04428a2befbd3c2d79b02
2FHC2xTzANdprKYAwehB68,Steppas Freestyle (feat. Sleepy Hallow),Eli Fross,0.861,https://p.scdn.co/mp3-preview/e2456e37f75a36e210d592b2ba410056c6440279?cid=49789426e6c04428a2befbd3c2d79b02
5pjWzUc1tVcewUTdDJd6Ce,San Francisco Street,Sun Rai,0.877,https://p.scdn.co/mp3-preview/71c4f73810ca762687dfcdd5c952aafb50c9acff?cid=49789426e6c04428a2befbd3c2d79b02
51o6ZEmuyDESow4gnsNJ7u,Eye for an Eye,Boslen,0.918,https://p.scdn.co/mp3-preview/f1ff28df04d891d2e4dbfe8b0fb7e88151025bb7?cid=49789426e6c04428a2befbd3c2d79b02
4t6PoAHfGZ1cV90DiObtWx,Automatic,Jack Harlow,0.964,https://p.scdn.co/mp3-preview/6915822104b9535d702fafab7d9b83e073a64516?cid=49789426e6c04428a2befbd3c2d79b02
4gmmRb6bZJffOOiww1JGTO,No Heart,21 Savage,0.906,https://p.scdn.co/mp3-preview/117a84c65c137bf12d5dbe28dd8a8700a6ac50e7?cid=49789426e6c04428a2befbd3c2d79b02
3ZYwSDF9knZI0RVlKR4PHC,Bad Company (feat. BlocBoy JB),A$AP Rocky,0.901,https://p.scdn.co/mp3-preview/bbd5312da326d9b4ee9eef2557caa0f09c38ed88?cid=49789426e6c04428a2befbd3c2d79b02
3V8UKqhEK5zBkBb6d6ub8i,Te Boté - Remix,Nio Garcia,0.903,https://p.scdn.co/mp3-preview/77974faf4e6baee7f084e78680860df4a96559f5?cid=49789426e6c04428a2befbd3c2d79b02
5ZduaRci3iNUiDfJbBfAaf,Give It To Me - Full Vocal Mix,Matt Sassari,0.874,https://p.scdn.co/mp3-preview/50081928cfabde0d63a4d78f893542711259652d?cid=49789426e6c04428a2befbd3c2d79b02
14n0buz71ujiZQwVqvkyuA,Touché - Radio Edit,Bob Sinclar,0.872,https://p.scdn.co/mp3-preview/97fedfbbe58ac86a7a6af1e050f901f991a15361?cid=49789426e6c04428a2befbd3c2d79b02
0l3795cAVGOHNdHvooZ25S,Another Way,Gigi D'Agostino,0.928,https://p.scdn.co/mp3-preview/1798df104b33d3915587f74474afc94f6fe44237?cid=49789426e6c04428a2befbd3c2d79b02
2DTpP3caqX3QdJIEoS83mD,Your Heart,Joyner Lucas,0.861,https://p.scdn.co/mp3-preview/121d6362424a90b743d54c5e7c5ea0e27a580ca6?cid=49789426e6c04428a2befbd3c2d79b02
5ChX0Yt1wPpRJFPPecJZPh,Dreams Unfold,Joyner Lucas,0.869,https://p.scdn.co/mp3-preview/ef934d862aa16d48ad248c62cb04aba85a9e5106?cid=49789426e6c04428a2befbd3c2d79b02
2KOhaiCh49qLvpCyRStvam,GREENER KNOTS,Maxo Kream,0.871,https://p.scdn.co/mp3-preview/2c3f56631d8126d3a5cd715354f634b76b66507d?cid=49789426e6c04428a2befbd3c2d79b02
0LIDcGHNRVvU9hpEacldg1,Killing The Rats,Kodak Black,0.925,https://p.scdn.co/mp3-preview/2bcf284f8a794424f5e1c80bec606583306712f1?cid=49789426e6c04428a2befbd3c2d79b02
08F16baYbciTva9P4BvpiI,MAFIA,Travis Scott,0.855,https://p.scdn.co/mp3-preview/e818eb24667f15a47305a591de4bd6fad848b01a?cid=49789426e6c04428a2befbd3c2d79b02
5reQI13tWWYDLMrGcUF4Mk,Nuestra Canción,Monsieur Periné,0.906,https://p.scdn.co/mp3-preview/16e1df4b3f65e45d134cc61e8e337e371469da8c?cid=49789426e6c04428a2befbd3c2d79b02
7cyeGclH71MayOuQ7qtLFl,BIG,Young M.A,0.86,https://p.scdn.co/mp3-preview/d15c0a4e1a2d36a0d93aff3d570cb7f3172a7738?cid=49789426e6c04428a2befbd3c2d79b02
6z1nMCq1HJSZ78u2jYtrDT,Twin Nem,King Von,0.871,https://p.scdn.co/mp3-preview/816b9d4e503c9691c8868300b59ed1d23018ef52?cid=49789426e6c04428a2befbd3c2d79b02
1dg3qy5DjoJodawfOCgrTP,Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,0.88,https://p.scdn.co/mp3-preview/65122420e08baf52a9cd5e28d694a379c4b125b6?cid=49789426e6c04428a2befbd3c2d79b02
38844QuZDlnt44uHPrSA3S,Oh Okay (feat. Young Thug & Lil Baby),Gunna,0.889,https://p.scdn.co/mp3-preview/81035822706a15c2984715d39f82a33c97b7b862?cid=49789426e6c04428a2befbd3c2d79b02
59JWp4PjZ9TRM8cmtaDYB1,Yessirskiii,Lil Uzi Vert,0.895,https://p.scdn.co/mp3-preview/9e0cd0336fe840b1ee43c7d08480a962e814cc82?cid=49789426e6c04428a2befbd3c2d79b02
1883mCuSqnfnrWoq8i3myH,Programs,Mac Miller,0.88,https://p.scdn.co/mp3-preview/eff9bf921893f04516a06efda36953f71d7e4c35?cid=49789426e6c04428a2befbd3c2d79b02
11SsZjc73w58L5y0csv67t,West Orlando Flow,Caleb Gordon,0.899,https://p.scdn.co/mp3-preview/321cb6cba81e0b00c86930b0a841f1358c02ab87?cid=49789426e6c04428a2befbd3c2d79b02
0RlsFYqkOzlg4ZxVQs9YJA,Lay Wit Ya (feat. Duke Deuce),Isaiah Rashad,0.913,https://p.scdn.co/mp3-preview/5501de094538777938484178b02edf1c3afeb357?cid=49789426e6c04428a2befbd3c2d79b02
5OcT3ogKvbL2vrW0x7GkHU,Beat The Case (feat. Offset) - Bonus Track,Gunna,0.859,https://p.scdn.co/mp3-preview/f8aec306f0bb22c8d5cf9fa604afad6982901b40?cid=49789426e6c04428a2befbd3c2d79b02
2Lw5B2B1KsssGf5NbjDeyj,Z Look Jamaican,Kodak Black,0.953,https://p.scdn.co/mp3-preview/422cfd29e543c7a3b889767bb11f5976edd02f96?cid=49789426e6c04428a2befbd3c2d79b02
