track_id,track_name,track_artist,preview_url
27hxOtUPvhetUhiHMXCoEQ,Dance baby oh,Basti Grub,https://p.scdn.co/mp3-preview/0d2fb175bc867241f075e116868e271dee215e7a?cid=49789426e6c04428a2befbd3c2d79b02
6uMZp5dsRHE3T9OFvIAQRs,You're A Dancer,Hitsakka Elektro,https://p.scdn.co/mp3-preview/7c7bc47db2b67a80d3ee3ad62f9ac2f63d291bb1?cid=49789426e6c04428a2befbd3c2d79b02
3IIRzzpJwCgTP2qVxNYgI2,Breakdance,Orrrwell,https://p.scdn.co/mp3-preview/563bf0325c72675629edecf4d98a0adce7868398?cid=49789426e6c04428a2befbd3c2d79b02
50wSY9cv5p4C797MY7r2dq,Danse / Move,The Danse Society,https://p.scdn.co/mp3-preview/dfe5a98a1aadfd16bfb127e8dee734834e52be8e?cid=49789426e6c04428a2befbd3c2d79b02
0mUrQFppT1jouX86normHz,"Baby Dance, Baby",Raw Spices,https://p.scdn.co/mp3-preview/10c673373e36996b1b7e9d42cd4b5d16d9f04c50?cid=49789426e6c04428a2befbd3c2d79b02
6bRAujMmo8o6QQQ7DkGsLC,Centre Tendus/Pirouettes: Undercover Agent,Gill Civil,https://p.scdn.co/mp3-preview/e6c8a161b0f3173d075a9f05371eb1c7e09f7503?cid=49789426e6c04428a2befbd3c2d79b02
1n5tpNqTJDr4GC3x8qUz2S,La Playa,Omar Khorshid,https://p.scdn.co/mp3-preview/38efcaaec36c94bcf644c6c47a22ba71adba1fa5?cid=49789426e6c04428a2befbd3c2d79b02
5H3yDwuwdbwLBRwKdu9axj,Danse Planinata - 2023 Remastered Version,Mythos,https://p.scdn.co/mp3-preview/69e982812530cf4be123c1b35799a322f1b6a68c?cid=49789426e6c04428a2befbd3c2d79b02
7qgTAwYEhd21zNRk1JIjlp,attractive dance,Roth Keith,https://p.scdn.co/mp3-preview/862d57170399f71f24edf88ae4d65779f0ed636d?cid=49789426e6c04428a2befbd3c2d79b02
2BFiEBNsN6svVJZlSt8frs,Weathered,The Dangerous Summer,https://p.scdn.co/mp3-preview/587ad26efb693297bca3ba974bbdc911396c1473?cid=49789426e6c04428a2befbd3c2d79b02
